"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cmserver",,,,"User:","zhiyedan"
"Cmdline:","dstat -tcmnr --top-cpu --top-mem --output /home/zhiyedan/data/monitor/cmserver-2017-12-02.csv 60",,,,"Date:","02 Dec 2017 12:26:58 CST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"most expensive","most expensive"
03-12 07:56:58,0.521,0.188,99.256,0.031,0.0,0.004,16352464896.0,455159808.0,18003722240.0,15749685248.0,10334.717,2326.183,0.0,5.817,java / 0%,java / 2681544704%
03-12 07:57:58,0.534,0.237,99.203,0.024,0.0,0.003,16352579584.0,455163904.0,18009354240.0,15743934464.0,10992.933,2289.683,0.0,3.367,java / 0%,java / 2681544704%
03-12 07:58:58,0.523,0.186,99.256,0.032,0.0,0.003,16353968128.0,455163904.0,18015121408.0,15736778752.0,11076.417,2317.550,0.0,3.700,java / 0%,java / 2681544704%
03-12 07:59:58,0.517,0.178,99.261,0.041,0.0,0.003,16353107968.0,455168000.0,18020499456.0,15732256768.0,11078.450,2322.867,0.0,5.567,java / 0%,java / 2681544704%
03-12 08:00:58,0.585,0.198,99.180,0.033,0.0,0.003,16351842304.0,455168000.0,18014117888.0,15739904000.0,11265.833,2677.717,0.0,4.017,java / 0%,java / 2681544704%
03-12 08:01:58,0.549,0.189,99.228,0.031,0.0,0.002,16350994432.0,455168000.0,18007445504.0,15747424256.0,10593.533,2270.0,0.0,4.400,java / 0%,java / 2681544704%
03-12 08:02:58,1.914,0.251,97.796,0.036,0.0,0.003,16349286400.0,455168000.0,18014539776.0,15742038016.0,11287.400,2819.933,0.0,5.433,java / 1%,java / 2681544704%
03-12 08:03:58,0.784,0.189,98.993,0.032,0.0,0.002,16349941760.0,455168000.0,18027483136.0,15728439296.0,10908.833,2143.933,0.0,7.667,java / 0%,java / 2681544704%
03-12 08:04:58,0.530,0.184,99.254,0.029,0.0,0.003,16350691328.0,455168000.0,18033250304.0,15721922560.0,11022.033,2289.400,0.0,4.767,java / 0%,java / 2681544704%
03-12 08:05:58,0.542,0.189,99.245,0.019,0.0,0.004,16350740480.0,455168000.0,18038845440.0,15716278272.0,11511.500,2739.850,0.0,4.267,java / 0%,java / 2681544704%
03-12 08:06:58,0.549,0.189,99.217,0.042,0.0,0.003,16350408704.0,455168000.0,18032234496.0,15723220992.0,11245.350,2318.933,0.0,4.533,java / 0%,java / 2681544704%
03-12 08:07:58,0.552,0.240,99.171,0.033,0.0,0.004,16351088640.0,455168000.0,18025455616.0,15729319936.0,11144.500,2336.750,0.0,3.617,java / 0%,java / 2681544704%
03-12 08:08:58,0.528,0.189,99.260,0.021,0.0,0.003,16350040064.0,455168000.0,18032033792.0,15723790336.0,10999.867,2319.650,0.0,4.050,java / 0%,java / 2681544704%
03-12 08:09:58,0.512,0.187,99.248,0.050,0.0,0.003,16351109120.0,455172096.0,18037796864.0,15716954112.0,10358.783,2100.800,0.0,5.417,java / 0%,java / 2681544704%
03-12 08:10:58,0.554,0.198,99.208,0.035,0.0,0.004,16354934784.0,455172096.0,18043523072.0,15707402240.0,11519.750,3130.167,0.0,4.700,java / 0%,java / 2681544704%
03-12 08:11:58,0.521,0.181,99.272,0.024,0.0,0.003,16355385344.0,455172096.0,18049036288.0,15701438464.0,11118.150,2304.117,0.0,3.517,java / 0%,java / 2681544704%
03-12 08:12:58,1.758,0.296,97.681,0.262,0.0,0.003,16354631680.0,455172096.0,18048708608.0,15702519808.0,11004.217,2320.650,0.0,23.867,java / 1%,java / 2681544704%
03-12 08:13:58,0.541,0.196,99.223,0.038,0.0,0.002,16353120256.0,455172096.0,18041970688.0,15710769152.0,11391.783,2763.083,0.0,6.383,java / 0%,java / 2681544704%
03-12 08:14:58,0.543,0.194,99.218,0.042,0.0,0.003,16354947072.0,455172096.0,18048270336.0,15702642688.0,11005.717,2304.100,0.0,4.667,java / 0%,java / 2681544704%
03-12 08:15:58,0.552,0.190,99.214,0.041,0.0,0.003,16354435072.0,455172096.0,18054115328.0,15697309696.0,11422.383,2739.867,0.0,4.517,java / 0%,java / 2681544704%
03-12 08:16:58,0.524,0.196,99.251,0.025,0.0,0.004,16354242560.0,455172096.0,18059878400.0,15691739136.0,11245.883,2711.400,0.0,3.983,java / 0%,java / 2681544704%
03-12 08:17:58,0.525,0.235,99.216,0.021,0.0,0.003,16355647488.0,455176192.0,18065387520.0,15684820992.0,11091.917,2301.150,0.0,3.217,java / 0%,java / 2681544704%
03-12 08:18:58,0.544,0.193,99.233,0.027,0.0,0.003,16354668544.0,455176192.0,18058645504.0,15692541952.0,11304.867,2790.033,0.0,4.0,java / 0%,java / 2681544704%
03-12 08:19:58,0.546,0.185,99.216,0.049,0.0,0.003,16353488896.0,455176192.0,18052526080.0,15699841024.0,11312.283,2726.200,0.0,5.950,java / 0%,java / 2681544704%
03-12 08:20:58,0.528,0.187,99.251,0.031,0.0,0.003,16353800192.0,455176192.0,18058678272.0,15693377536.0,11251.950,2682.767,0.0,3.783,java / 0%,java / 2681544704%
03-12 08:21:58,0.500,0.188,99.273,0.037,0.0,0.003,16352182272.0,455176192.0,18064445440.0,15689228288.0,11256.600,2344.733,0.0,4.467,java / 0%,java / 2681544704%
03-12 08:22:58,1.156,0.245,98.566,0.031,0.0,0.002,16354795520.0,455180288.0,18072080384.0,15678976000.0,11365.467,2753.383,0.0,3.733,java / 0%,java / 2681544704%
03-12 08:23:58,0.507,0.185,99.262,0.043,0.0,0.003,16354566144.0,455180288.0,18077589504.0,15673696256.0,10952.150,2295.350,0.0,9.483,java / 0%,java / 2681544704%
03-12 08:24:58,0.548,0.191,99.211,0.047,0.0,0.003,16355803136.0,455180288.0,18071764992.0,15678283776.0,11321.533,2395.400,0.0,6.300,java / 0%,java / 2681544704%
03-12 08:25:58,0.551,0.187,99.221,0.039,0.0,0.003,16353906688.0,455180288.0,18065219584.0,15686725632.0,11237.633,2704.700,0.0,5.117,java / 0%,java / 2681544704%
03-12 08:26:58,0.513,0.185,99.272,0.028,0.0,0.002,16353464320.0,455180288.0,18071527424.0,15680860160.0,11176.683,2294.083,0.0,3.200,java / 0%,java / 2681544704%
03-12 08:27:58,0.529,0.241,99.204,0.023,0.0,0.003,16354955264.0,455180288.0,18076786688.0,15674109952.0,11247.117,2745.950,0.0,4.367,java / 0%,java / 2681544704%
03-12 08:28:58,0.530,0.184,99.251,0.031,0.0,0.003,16354541568.0,455180288.0,18082422784.0,15668887552.0,11183.100,2335.167,0.0,3.933,java / 0%,java / 2681544704%
03-12 08:29:58,0.534,0.185,99.236,0.042,0.0,0.003,16357617664.0,455180288.0,18078396416.0,15669837824.0,10978.233,2305.517,0.0,5.433,java / 0%,java / 2681544704%
03-12 08:30:58,0.602,0.199,99.156,0.040,0.0,0.003,16355827712.0,455180288.0,18062671872.0,15687352320.0,11377.900,2717.033,0.0,6.250,java / 0%,java / 2681544704%
03-12 08:31:58,0.530,0.183,99.252,0.032,0.0,0.003,16345284608.0,455184384.0,18056159232.0,15704403968.0,11225.383,2729.617,0.0,3.683,java / 0%,java / 2681544704%
03-12 08:32:58,1.168,0.258,98.489,0.082,0.0,0.003,16346730496.0,455184384.0,18065510400.0,15693606912.0,11104.783,2309.300,0.0,8.417,java / 0%,java / 2681544704%
03-12 08:33:58,0.512,0.183,99.274,0.027,0.0,0.004,16345714688.0,455188480.0,18071150592.0,15688978432.0,11008.150,2272.467,0.0,5.483,java / 0%,java / 2681544704%
03-12 08:34:58,0.525,0.190,99.236,0.046,0.0,0.003,16345919488.0,455188480.0,18076909568.0,15683014656.0,11067.883,2294.617,0.0,5.450,java / 0%,java / 2681544704%
03-12 08:35:58,0.540,0.183,99.249,0.023,0.0,0.004,16347561984.0,455188480.0,18082660352.0,15675621376.0,11405.283,2735.200,0.0,3.433,java / 0%,java / 2681544704%
03-12 08:36:58,0.966,0.214,98.700,0.116,0.0,0.003,16353812480.0,455188480.0,18077634560.0,15674396672.0,11616.967,2783.467,0.0,14.867,java / 0%,java / 2681544704%
03-12 08:37:58,0.552,0.237,99.154,0.055,0.0,0.003,16354381824.0,455196672.0,18071236608.0,15680217088.0,10977.850,2303.583,0.0,4.833,java / 0%,java / 2681544704%
03-12 08:38:58,0.523,0.186,99.261,0.028,0.0,0.003,16353689600.0,455196672.0,18077409280.0,15674736640.0,11115.700,2332.833,0.0,3.933,java / 0%,java / 2681544704%
03-12 08:39:58,0.513,0.186,99.266,0.031,0.0,0.003,16352989184.0,455200768.0,18083041280.0,15669800960.0,11131.883,2336.750,0.0,4.733,java / 0%,java / 2681544704%
03-12 08:40:58,0.553,0.198,99.205,0.041,0.0,0.003,16353710080.0,455200768.0,18089000960.0,15663120384.0,11613.033,3130.517,0.0,4.650,java / 0%,java / 2681544704%
03-12 08:41:58,0.524,0.189,99.254,0.029,0.0,0.003,16352690176.0,455200768.0,18094247936.0,15658893312.0,11001.733,2301.800,0.0,3.667,java / 0%,java / 2681544704%
03-12 08:42:58,1.042,0.256,98.662,0.038,0.0,0.003,16355155968.0,455200768.0,17992531968.0,15758143488.0,10456.367,2712.717,0.0,3.933,java / 0%,java / 2681544704%
03-12 08:43:58,0.525,0.187,99.244,0.041,0.0,0.003,16352821248.0,455200768.0,17985638400.0,15767371776.0,12149.817,2805.750,0.0,5.917,java / 0%,java / 2681544704%
03-12 08:44:58,0.525,0.187,99.248,0.037,0.0,0.003,16354000896.0,455200768.0,17992200192.0,15759630336.0,10396.150,2687.300,0.0,5.650,java / 0%,java / 2681544704%
03-12 08:45:58,0.550,0.191,99.231,0.024,0.0,0.004,16353906688.0,455204864.0,17997918208.0,15754002432.0,11592.983,3150.183,0.0,3.717,java / 0%,java / 2681544704%
03-12 08:46:58,0.543,0.188,99.241,0.025,0.0,0.003,16353923072.0,455204864.0,18003550208.0,15748354048.0,11059.600,2284.383,0.0,3.650,java / 0%,java / 2681544704%
03-12 08:47:58,0.553,0.243,99.176,0.024,0.0,0.003,16353697792.0,455208960.0,18009055232.0,15743070208.0,11000.883,2297.650,0.0,4.683,java / 0%,java / 2681544704%
03-12 08:48:58,0.549,0.189,99.239,0.020,0.0,0.003,16353914880.0,455208960.0,18002583552.0,15749324800.0,11005.483,2317.150,0.0,3.533,java / 0%,java / 2681544704%
03-12 08:49:58,0.789,0.198,98.896,0.113,0.0,0.003,16354902016.0,455208960.0,17997103104.0,15753818112.0,11360.417,2760.383,0.0,10.983,java / 0%,java / 2681585664%
03-12 08:50:58,0.531,0.188,99.230,0.047,0.0,0.004,16353120256.0,455208960.0,18003603456.0,15749099520.0,11065.133,2642.100,0.0,4.783,java / 0%,java / 2681548800%
03-12 08:51:58,0.513,0.186,99.264,0.033,0.0,0.003,16353984512.0,455208960.0,18009239552.0,15742599168.0,11302.150,2311.983,0.0,3.833,java / 0%,java / 2681548800%
03-12 08:52:58,0.973,0.243,98.752,0.029,0.0,0.003,16353693696.0,455208960.0,18016952320.0,15735177216.0,11014.883,2325.067,0.0,3.350,java / 0%,java / 2681548800%
03-12 08:53:58,0.515,0.180,99.287,0.015,0.0,0.003,16351072256.0,455208960.0,18022334464.0,15732416512.0,11081.267,2313.550,0.0,4.750,java / 0%,java / 2681548800%
03-12 08:54:58,0.553,0.191,99.215,0.037,0.0,0.003,16356073472.0,455208960.0,18015600640.0,15734149120.0,11139.017,2350.517,0.0,5.783,java / 0%,java / 2681548800%
03-12 08:55:58,0.551,0.188,99.230,0.028,0.0,0.003,16353943552.0,455208960.0,18009145344.0,15742734336.0,11576.767,3142.917,0.0,4.333,java / 0%,java / 2681548800%
03-12 08:56:58,0.524,0.188,99.261,0.024,0.0,0.003,16353628160.0,455208960.0,18015580160.0,15736614912.0,11026.450,2293.233,0.0,3.667,java / 0%,java / 2681548800%
03-12 08:57:58,0.534,0.237,99.178,0.049,0.0,0.003,16354258944.0,455208960.0,18021339136.0,15730225152.0,10928.067,2158.933,0.0,3.217,java / 0%,java / 2681597952%
03-12 08:58:58,0.520,0.193,99.258,0.026,0.0,0.003,16354267136.0,455208960.0,18026975232.0,15724580864.0,11206.567,2744.283,0.0,3.867,java / 0%,java / 2681561088%
03-12 08:59:58,0.508,0.187,99.251,0.051,0.0,0.003,16355250176.0,455213056.0,18032357376.0,15718211584.0,11338.483,2748.367,0.0,4.717,java / 0%,java / 2681561088%
03-12 09:00:58,1.066,0.228,98.535,0.167,0.0,0.004,16355762176.0,455213056.0,18028490752.0,15721566208.0,11245.583,2702.567,0.0,16.617,java / 0%,java / 2681565184%
03-12 09:01:58,0.536,0.191,99.227,0.041,0.0,0.004,16352686080.0,455213056.0,18021957632.0,15731175424.0,11087.650,2360.633,0.0,5.200,java / 0%,java / 2681561088%
03-12 09:02:58,1.479,0.252,98.145,0.122,0.0,0.003,16353955840.0,455213056.0,18040688640.0,15711174656.0,11057.0,2299.683,0.0,10.183,java / 1%,java / 2681561088%
03-12 09:03:58,0.599,0.184,99.181,0.033,0.0,0.003,16354246656.0,455213056.0,18046259200.0,15705313280.0,11012.600,2344.750,0.0,5.783,java / 0%,java / 2681597952%
03-12 09:04:58,0.546,0.187,99.209,0.056,0.0,0.003,16355459072.0,455213056.0,18052034560.0,15698325504.0,11198.067,2348.533,0.0,5.283,java / 0%,java / 2681597952%
03-12 09:05:58,0.535,0.187,99.238,0.036,0.0,0.004,16352878592.0,455213056.0,18058002432.0,15694938112.0,11313.850,2700.317,0.0,4.167,java / 0%,java / 2681597952%
03-12 09:06:58,0.529,0.191,99.242,0.036,0.0,0.003,16352882688.0,455213056.0,18064044032.0,15688892416.0,11409.183,2362.400,0.0,3.850,java / 0%,java / 2681561088%
03-12 09:07:58,0.556,0.242,99.159,0.041,0.0,0.003,16353763328.0,455213056.0,18048987136.0,15703068672.0,11008.017,2316.967,0.0,3.667,java / 0%,java / 2681561088%
03-12 09:08:58,0.525,0.184,99.249,0.038,0.001,0.003,16352550912.0,455213056.0,18055286784.0,15697981440.0,10432.650,2623.467,0.0,3.617,java / 0%,java / 2681597952%
03-12 09:09:58,0.550,0.189,99.221,0.038,0.0,0.003,16353779712.0,455213056.0,18048839680.0,15703199744.0,11056.250,2311.983,0.0,5.567,java / 0%,java / 2681597952%
03-12 09:10:58,0.540,0.191,99.238,0.028,0.0,0.003,16353611776.0,455213056.0,18054811648.0,15697395712.0,11362.533,2738.750,0.0,3.717,java / 0%,java / 2681561088%
03-12 09:11:58,0.515,0.186,99.269,0.028,0.0,0.003,16353771520.0,455213056.0,18060455936.0,15691591680.0,11263.233,2755.517,0.0,3.583,java / 0%,java / 2681589760%
03-12 09:12:58,1.215,0.245,98.490,0.047,0.0,0.003,16356356096.0,455213056.0,18060972032.0,15688491008.0,11105.983,2308.883,0.0,4.617,java / 0%,java / 2684002304%
03-12 09:13:58,0.756,0.197,98.969,0.075,0.0,0.003,16355045376.0,455213056.0,18054823936.0,15695949824.0,11241.933,2729.683,0.0,9.033,java / 0%,java / 2684051456%
03-12 09:14:58,0.523,0.191,99.243,0.040,0.0,0.003,16352763904.0,455213056.0,18060992512.0,15692062720.0,11331.267,2754.900,0.0,6.083,java / 0%,java / 2680606720%
03-12 09:15:58,0.559,0.196,99.202,0.039,0.0,0.004,16351637504.0,455213056.0,18054463488.0,15699718144.0,11500.633,3178.417,0.0,4.483,java / 0%,java / 2680594432%
03-12 09:16:58,0.516,0.189,99.272,0.020,0.0,0.003,16352141312.0,455213056.0,18060357632.0,15693320192.0,11193.717,2337.500,0.0,3.167,java / 0%,java / 2680569856%
03-12 09:17:58,0.547,0.239,99.192,0.019,0.0,0.003,16350662656.0,455213056.0,18066268160.0,15688888320.0,11014.550,2352.250,0.0,3.550,java / 0%,java / 2680557568%
03-12 09:18:58,0.522,0.189,99.257,0.029,0.0,0.003,16352210944.0,455213056.0,18072432640.0,15681175552.0,11382.217,2742.517,0.0,3.633,java / 0%,java / 2680557568%
03-12 09:19:58,0.541,0.191,99.221,0.045,0.0,0.003,16351821824.0,455213056.0,18065534976.0,15688462336.0,10951.267,2293.867,0.0,5.067,java / 0%,java / 2680557568%
03-12 09:20:58,0.551,0.187,99.238,0.020,0.0,0.004,16353366016.0,455213056.0,18071543808.0,15680909312.0,11331.0,2744.867,0.0,4.350,java / 0%,java / 2680561664%
03-12 09:21:58,0.532,0.184,99.246,0.034,0.0,0.003,16352309248.0,455217152.0,18064830464.0,15688675328.0,11254.433,2335.617,0.0,4.117,java / 0%,java / 2680557568%
03-12 09:22:58,1.024,0.244,98.701,0.028,0.0,0.003,16351723520.0,455217152.0,18080161792.0,15673929728.0,11156.883,2346.583,0.0,4.167,java / 0%,java / 2680594432%
03-12 09:23:58,0.519,0.181,99.264,0.033,0.0,0.003,16351789056.0,455217152.0,18085670912.0,15668355072.0,11064.700,2306.617,0.0,3.983,java / 0%,java / 2680545280%
03-12 09:24:58,0.542,0.193,99.218,0.044,0.0,0.003,16351662080.0,455217152.0,18092466176.0,15661686784.0,11203.333,2386.583,0.0,5.133,java / 0%,java / 2680545280%
03-12 09:25:58,0.595,0.195,99.167,0.040,0.0,0.003,16351903744.0,455217152.0,18086019072.0,15667892224.0,11351.283,2714.733,0.0,4.833,java / 0%,java / 2680545280%
03-12 09:26:58,0.528,0.192,99.248,0.029,0.0,0.003,16352681984.0,455217152.0,18091921408.0,15661211648.0,11102.100,2347.500,0.0,3.817,java / 0%,java / 2680545280%
03-12 09:27:58,0.572,0.241,99.158,0.027,0.0,0.002,16352514048.0,455217152.0,18084306944.0,15668994048.0,11110.083,2269.400,0.0,4.200,java / 0%,java / 2680541184%
03-12 09:28:58,0.533,0.189,99.254,0.022,0.0,0.003,16353759232.0,455217152.0,18090139648.0,15661916160.0,11070.200,2409.400,0.0,4.550,java / 0%,java / 2680537088%
03-12 09:29:58,0.537,0.182,99.241,0.037,0.0,0.003,16351879168.0,455217152.0,18095788032.0,15658147840.0,11352.017,2783.833,0.0,5.550,java / 0%,java / 2680528896%
03-12 09:30:58,0.557,0.197,99.208,0.034,0.0,0.004,16353042432.0,455217152.0,18102194176.0,15650578432.0,11291.533,2718.0,0.0,3.817,java / 0%,java / 2680532992%
03-12 09:31:58,0.550,0.187,99.227,0.033,0.0,0.003,16352944128.0,455217152.0,18095570944.0,15657299968.0,10231.683,2216.150,0.0,3.883,java / 0%,java / 2680528896%
03-12 09:32:58,1.142,0.243,98.563,0.049,0.0,0.003,16352681984.0,455217152.0,18096807936.0,15656325120.0,11923.633,2454.900,0.0,7.683,java / 0%,java / 2680528896%
03-12 09:33:58,0.555,0.189,99.230,0.022,0.0,0.003,16350461952.0,455217152.0,18089885696.0,15665467392.0,11321.400,2710.883,0.0,4.300,java / 0%,java / 2680532992%
03-12 09:34:58,0.550,0.192,99.230,0.025,0.0,0.003,16351817728.0,455217152.0,18095783936.0,15658213376.0,10149.283,2290.867,0.0,5.417,java / 0%,java / 2680532992%
03-12 09:35:58,0.541,0.192,99.240,0.022,0.0,0.004,16351379456.0,455217152.0,18101506048.0,15652929536.0,11506.683,2664.850,0.0,4.217,java / 0%,java / 2680532992%
03-12 09:36:58,0.532,0.190,99.245,0.030,0.0,0.003,16352276480.0,455217152.0,18107928576.0,15645609984.0,11480.317,2748.050,0.0,3.700,java / 0%,java / 2680557568%
03-12 09:37:58,0.931,0.265,98.663,0.137,0.0,0.003,16351748096.0,455217152.0,18102390784.0,15651676160.0,11141.033,2343.100,0.0,11.567,java / 0%,java / 2680545280%
03-12 09:38:58,0.521,0.188,99.258,0.029,0.0,0.003,16350945280.0,455217152.0,18108166144.0,15646703616.0,10978.767,2313.517,0.0,4.650,java / 0%,java / 2680532992%
03-12 09:39:58,0.807,0.201,98.859,0.130,0.0,0.003,16352333824.0,455217152.0,18103705600.0,15649775616.0,11484.850,2772.400,0.0,10.733,java / 0%,java / 2680545280%
03-12 09:40:58,0.544,0.195,99.228,0.029,0.0,0.004,16352423936.0,455217152.0,18109693952.0,15643697152.0,11245.850,2699.683,0.0,4.867,java / 0%,java / 2680532992%
03-12 09:41:58,0.525,0.183,99.269,0.020,0.0,0.003,16351272960.0,455217152.0,18115469312.0,15639072768.0,11107.950,2335.350,0.0,3.867,java / 0%,java / 2680537088%
03-12 09:42:58,1.017,0.240,98.712,0.027,0.0,0.004,16352346112.0,455217152.0,18131341312.0,15622127616.0,10995.200,2308.367,0.0,4.467,java / 0%,java / 2680537088%
03-12 09:43:58,0.531,0.184,99.257,0.026,0.0,0.002,16352989184.0,455217152.0,18124828672.0,15627997184.0,11063.417,2328.217,0.0,4.533,java / 0%,java / 2680537088%
03-12 09:44:58,0.525,0.189,99.255,0.027,0.0,0.003,16352964608.0,455217152.0,18130595840.0,15622254592.0,11145.417,2337.067,0.0,5.317,java / 0%,java / 2680545280%
03-12 09:45:58,0.564,0.191,99.217,0.024,0.0,0.003,16353095680.0,455217152.0,18123960320.0,15628759040.0,11499.983,3185.783,0.0,5.083,java / 0%,java / 2680528896%
03-12 09:46:58,0.520,0.193,99.266,0.018,0.0,0.003,16351019008.0,455217152.0,18129854464.0,15624941568.0,10392.300,2091.583,0.0,3.300,java / 0%,java / 2680528896%
03-12 09:47:58,0.537,0.235,99.195,0.030,0.0,0.003,16351494144.0,455221248.0,18135773184.0,15618543616.0,11235.850,2769.617,0.0,3.783,java / 0%,java / 2680545280%
03-12 09:48:58,0.520,0.187,99.262,0.027,0.0,0.003,16352698368.0,455221248.0,18141798400.0,15611314176.0,11363.067,2787.967,0.0,3.967,java / 0%,java / 2680545280%
03-12 09:49:58,0.537,0.194,99.236,0.031,0.0,0.002,16353984512.0,455221248.0,18135207936.0,15616618496.0,10959.917,2290.517,0.0,4.867,java / 0%,java / 2680594432%
03-12 09:50:58,0.558,0.197,99.220,0.023,0.0,0.003,16354152448.0,455221248.0,18141081600.0,15610576896.0,11394.833,2755.050,0.0,4.750,java / 0%,java / 2680532992%
03-12 09:51:58,0.546,0.189,99.226,0.035,0.0,0.003,16352350208.0,455221248.0,18134208512.0,15619252224.0,11264.033,2338.683,0.0,3.983,java / 0%,java / 2680532992%
03-12 09:52:58,1.330,0.262,98.289,0.117,0.0,0.002,16354078720.0,455221248.0,18135359488.0,15616372736.0,11107.700,2304.067,0.0,11.900,java / 0%,java / 2681458688%
03-12 09:53:58,0.522,0.180,99.263,0.031,0.0,0.003,16352628736.0,455225344.0,18141265920.0,15611912192.0,11335.650,2745.183,0.0,4.567,java / 0%,java / 2681458688%
03-12 09:54:58,0.548,0.189,99.222,0.036,0.0,0.005,16354381824.0,455225344.0,18147168256.0,15604256768.0,11219.950,2407.950,0.0,4.717,java / 0%,java / 2681458688%
03-12 09:55:58,1.045,0.223,98.578,0.150,0.0,0.003,16355602432.0,455225344.0,18131255296.0,15618949120.0,11286.383,2777.017,0.0,16.133,java / 0%,java / 2681458688%
03-12 09:56:58,0.542,0.189,99.224,0.042,0.0,0.003,16353722368.0,455225344.0,18137157632.0,15614926848.0,11127.750,2313.750,0.0,4.717,java / 0%,java / 2681470976%
03-12 09:57:58,0.560,0.240,99.168,0.029,0.0,0.003,16353669120.0,455225344.0,18130305024.0,15621832704.0,10977.100,2312.817,0.0,3.400,java / 0%,java / 2681483264%
03-12 09:58:58,0.522,0.189,99.263,0.022,0.0,0.003,16354009088.0,455225344.0,18136469504.0,15615328256.0,11313.267,2754.783,0.0,3.700,java / 0%,java / 2681483264%
03-12 09:59:58,0.525,0.186,99.248,0.039,0.0,0.002,16352059392.0,455225344.0,18141982720.0,15611764736.0,11022.083,2347.683,0.0,5.150,java / 0%,java / 2681470976%
03-12 10:00:58,0.562,0.194,99.206,0.034,0.0,0.004,16354840576.0,455225344.0,18148118528.0,15602847744.0,11342.550,2728.533,0.0,4.933,java / 0%,java / 2681470976%
03-12 10:01:58,0.903,0.218,98.779,0.097,0.0,0.004,16353529856.0,455229440.0,18143039488.0,15609233408.0,11282.700,2774.183,0.0,11.500,java / 0%,java / 2681470976%
03-12 10:02:58,1.252,0.241,98.467,0.037,0.0,0.003,16353026048.0,455229440.0,18052419584.0,15700357120.0,10800.183,2154.033,0.0,4.483,java / 0%,java / 2681483264%
03-12 10:03:58,0.799,0.204,98.910,0.084,0.0,0.003,16349630464.0,455229440.0,18046906368.0,15709265920.0,10985.350,2317.633,0.0,13.367,java / 0%,java / 2681479168%
03-12 10:04:58,0.574,0.184,99.196,0.043,0.0,0.003,16351772672.0,455229440.0,18052808704.0,15701221376.0,11076.733,2294.717,0.0,5.783,java / 0%,java / 2681475072%
03-12 10:05:58,0.533,0.191,99.247,0.025,0.0,0.003,16352276480.0,455229440.0,18058670080.0,15694856192.0,11632.750,3134.100,0.0,3.650,java / 0%,java / 2681475072%
03-12 10:06:58,0.529,0.189,99.257,0.022,0.0,0.003,16352223232.0,455229440.0,18064699392.0,15688880128.0,11345.150,2371.733,0.0,3.800,java / 0%,java / 2681466880%
03-12 10:07:58,0.548,0.241,99.181,0.027,0.0,0.002,16352374784.0,455229440.0,18058059776.0,15695368192.0,11301.450,2750.917,0.0,4.150,java / 0%,java / 2681454592%
03-12 10:08:58,0.516,0.189,99.266,0.024,0.0,0.004,16353525760.0,455229440.0,18063970304.0,15688306688.0,11279.867,2734.700,0.0,3.133,java / 0%,java / 2681475072%
03-12 10:09:58,0.537,0.185,99.237,0.038,0.0,0.003,16352935936.0,455229440.0,18057003008.0,15695863808.0,11398.433,2760.783,0.0,5.933,java / 0%,java / 2681470976%
03-12 10:10:58,0.554,0.189,99.225,0.029,0.0,0.003,16353767424.0,455229440.0,18063376384.0,15688658944.0,11286.283,2722.0,0.0,4.583,java / 0%,java / 2681470976%
03-12 10:11:58,0.504,0.180,99.283,0.029,0.0,0.003,16353853440.0,455229440.0,18068893696.0,15683055616.0,10278.417,2573.600,0.0,3.617,java / 0%,java / 2681532416%
03-12 10:12:58,0.994,0.254,98.725,0.024,0.0,0.003,16353910784.0,455229440.0,18069671936.0,15682220032.0,11215.933,2749.750,0.0,3.683,java / 0%,java / 2681532416%
03-12 10:13:58,0.556,0.188,99.215,0.037,0.0,0.004,16353239040.0,455229440.0,18057416704.0,15695147008.0,11113.283,2292.900,0.0,5.333,java / 0%,java / 2681524224%
03-12 10:14:58,0.531,0.191,99.232,0.043,0.0,0.003,16352436224.0,455229440.0,18063323136.0,15690043392.0,11223.833,2757.100,0.0,5.367,java / 0%,java / 2681503744%
03-12 10:15:58,0.568,0.188,99.205,0.037,0.0,0.003,16351371264.0,455229440.0,18056257536.0,15698173952.0,11362.717,2689.650,0.0,3.783,java / 0%,java / 2681520128%
03-12 10:16:58,0.522,0.196,99.247,0.032,0.0,0.003,16352976896.0,455229440.0,18062286848.0,15690539008.0,11095.683,2324.917,0.0,3.533,java / 0%,java / 2681454592%
03-12 10:17:58,0.536,0.241,99.191,0.029,0.0,0.003,16351772672.0,455229440.0,18068062208.0,15685967872.0,11144.800,2316.250,0.0,7.300,java / 0%,java / 2681458688%
03-12 10:18:58,0.531,0.191,99.248,0.027,0.0,0.002,16352432128.0,455229440.0,18074230784.0,15679139840.0,11230.167,2764.867,0.0,3.100,java / 0%,java / 2681458688%
03-12 10:19:58,0.541,0.187,99.235,0.034,0.0,0.003,16351256576.0,455229440.0,18067714048.0,15686832128.0,11119.583,2318.900,0.0,5.567,java / 0%,java / 2681475072%
03-12 10:20:58,0.574,0.193,99.197,0.031,0.0,0.005,16351698944.0,455229440.0,18073432064.0,15680671744.0,11278.783,2764.350,0.0,4.383,java / 0%,java / 2681475072%
03-12 10:21:58,0.547,0.193,99.232,0.026,0.0,0.002,16353206272.0,455229440.0,18066706432.0,15685890048.0,11281.683,2315.583,0.0,3.583,java / 0%,java / 2681475072%
